Attr1_Str_qu,Attr2_OpPr_qu,Attr3_Costamount_norm,Attr4_RdDi_norm,Attr5_BrDi_norm,Attr5_Str_Type1,Attr5_Str_Type2,Attr5_Str_Type3,Attr6_Major_Type1,Attr6_Major_Type2,Attr7_Cshn1,Attr7_Cshn2,Attr7_Cshn3,Attr7_Cshn4,Attr8_Repha1,Attr8_Repha2,Attr8_Repha3,Attr9_Frctn0,Attr9_Frctn1,Attr10_Snsr0,Attr10_Snsr1,partnumber,s_nm,s_country,s_region,p_nm,p_bu,p_region
0.263157895,0.727272727,-0.45459228,0.40969367,-0.588167546,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,47902034,OGNIBENE POWER S P A,Italy,Region_2,FARGO MANUFACTURING PLANT,AG,Region_1
1,0.727272727,0.32866306,1.531397662,0.88246268,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,51612316,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.684210526,0.272727273,-0.369530316,0.40969367,0.31683567,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,51494914,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.210526316,0.272727273,-0.327502288,0.634034468,-0.24879134,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47632134,OGNIBENE POWER S P A,Italy,Region_2,RACINE TRACTOR PLANT,AG,Region_1
0.526315789,0.181818182,-0.291855478,-0.038987927,-0.107384587,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,84577088,OGNIBENE POWER S P A,Italy,Region_2,FARGO MANUFACTURING PLANT,AG,Region_1
0.473684211,0.181818182,-0.236467755,-0.003093399,0.362085831,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,73383941,WIPRO DO BRASIL INDUSTRIAL SA,Brazil,Region_3,PIRACICABA,AG,Region_3
0.157894737,0.909090909,0.34401885,1.706383484,0.721258982,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,35.04168,MONARCH INDUSTRIES LTD,Canada,Region_1,MILLER ST NAZIANZ PLANT,AG,Region_1
0.052631579,0.272727273,-0.476313572,-0.263328725,-0.673011597,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47625388,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH ST. VALENTIN PLANT,AG,Region_2
0.842105263,0.636363636,0.844064374,0.566732229,0.721258982,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,91725952,ROSENBOOM MACHINE TOOL,United States,Region_1,WMF-NA (BELO HORIZONTE),CW,Region_1
0.368421053,0.090909091,-0.23365436,-0.667142162,-0.814418349,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,51547647,SAHGEV SARL,France,Region_2,CNH ZEDELGEM BELGIUM,AG,Region_2
0.210526316,0,-0.629604284,-1.160691919,-1.238638607,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,87302892,OGNIBENE HIDROSTATICA LTDA,Brazil,Region_3,CURITIBA,AG,Region_3
0.315789474,0.727272727,0.062302177,-0.003093399,0.183913323,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,47837999,ROSENBOOM MACHINE TOOL,United States,Region_1,WMF-NA (PIRACICABA),AW,Region_1
0.789473684,0.818181818,0.176896925,-1.142744655,-1.074606774,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47875117,MONARCH INDUSTRIES LTD,Canada,Region_1,NEW HOLLAND MFG PLANT,AG,Region_1
